product id,PRODUCT_Family,product sub family
Additional services - Other,SERVICES COMPLEMENTAIRES,ABONNEMENTS SECIB
AvocatMail,SERVICES COMPLEMENTAIRES,ABONNEMENTS SECIB
AvocatMail,SERVICES COMPLEMENTAIRES,ABONNEMENT SECIB.BE
AvocatMail,SERVICES COMPLEMENTAIRES,SERVICES SECIB ASSOCIES
AvocatMail,SERVICES COMPLEMENTAIRES,MAINTENANCE DICTAPLUS
Contrat D'Accompagnement,CONTRAT D'ACCOMPAGNEMENT,CONTRAT DE SERVICE MATERIEL
Contrat D'Accompagnement,CONTRAT D'ACCOMPAGNEMENT,ACCOMPAGNEMENT PERFORMANCE
Contrat D'Accompagnement,CONTRAT D'ACCOMPAGNEMENT,ACCOMPAGNEMENT TECHNIQUE
Contrat D'Accompagnement,CONTRAT D'ACCOMPAGNEMENT,ACCOMPAGNEMENT SERENITE
Contrat D'Accompagnement - Other,CONTRAT D'ACCOMPAGNEMENT,CONTRAT DE FORMATION CONTINUE
Contrat D'Accompagnement - Other,CONTRAT D'ACCOMPAGNEMENT,CONTRAT DE SERVICE MATERIEL
Dictaplus,MAINTENANCE,MAINTENANCE DICTAPLUS
Dictaplus,MAINTENANCE,SERVICES SECIB ASSOCIES
Dictaplus,MAINTENANCE,OUTILS DE DICTEE
Dictaplus,MAINTENANCE,ABONNEMENT SECIB.BE
Dictaplus,MAINTENANCE,SECIB.BE
Dictaplus,MAINTENANCE,ABONNEMENTS SECIB
Docusign,SERVICES COMPLEMENTAIRES,ABONNEMENTS
eBarreau,ECHANGES,SERVICES SECIB ASSOCIES
eBarreau,ECHANGES,ECHANGES SECIB
eBarreau,ECHANGES,ABONNEMENTS SECIB
eBarreau,ECHANGES,SECIB
Formation - Other,FORMATION,FORMATION SECIB
Formation - Other,FORMATION,FORMATION GENAPI
Formation - Others,FORMATION,FORMATION GENAPI
Frais de Port - Other,FRAIS DE PORT,FRAIS DE PORT FRANCE METROPOLITAINE
Genapi Security,SERVICES COMPLEMENTAIRES,ABONNEMENTS
G rance,MAINTENANCE,MAINTENANCE LOGICIELS GENAPI ET SERVICES SUIVANT LE NOMBRE DE POSTES SUR LE RESEAU
G rance,MAINTENANCE,ABONNEMENTS
iNot,MAINTENANCE,MAINTENANCE LOGICIELS GENAPI ET SERVICES SUIVANT LE NOMBRE DE POSTES SUR LE RESEAU
iNot,MAINTENANCE,ABONNEMENTS
Installation - Other,INSTALLATION,INSTALLATION MAT RIEL
Installation - Other,INSTALLATION,INSTALLATION A DISTANCE
Installation - Other,INSTALLATION,INSTALLATION LOGICIELS
Installation -Other,INSTALLATION,INSTALLATION A DISTANCE
Installation -Other,INSTALLATION,INSTALLATION MAT RIEL
Logicels Autres - Other,LOGICIELS AUTRES,NETWERKBEHEER
Logicels Autres - Other,LOGICIELS AUTRES,MICROSOFT
Logicels Autres - Other,LOGICIELS AUTRES,LICENCES MICROSOFT
Logicels Autres - Other,LOGICIELS AUTRES,BASES DE DONNEES
Logicels Autres - Other,LOGICIELS AUTRES,COMMUNICATION
Logicels Autres - Other,LOGICIELS AUTRES,ANTIVIRUS
Logicels Autres - Other,LOGICIELS AUTRES,GESTIONNAIRE RESEAU
Logicels Genapi - Other,LOGICIELS GENAPI,GENAPI VERSION TELE@CTES
Logicels SECIB - Other,LOGICIELS SECIB,REGULARISATION
Logicels SECIB - Other,LOGICIELS SECIB,SPECIFIQUE
Logicels SECIB - Other,LOGICIELS SECIB,SECIB
Logiciels Secib - Other,LOGICIELS SECIB,SECIB
Logiciels Secib - Other,LOGICIELS SECIB,SECIB.BE
Maintenance - Other,MAINTENANCE,SERVICES SECIB ASSOCIES
Maintenance - Other,MAINTENANCE,PAYE SOUS-TRAIT E
Maintenance - Other,MAINTENANCE,MAINTENANCE/ASSISTANCE SPI
Maintenance - Other,MAINTENANCE,MAINTENANCE LOGICIELS GENAPI ET SERVICES SUIVANT LE NOMBRE DE POSTES SUR LE RESEAU
Maintenance Mat riel,MAINTENANCE,ECHANGES SECIB
Maintenance Mat riel,MAINTENANCE,ABONNEMENT SECIB.BE
Maintenance Mat riel,MAINTENANCE,SERVICES SECIB ASSOCIES
Materiel - Other,MAT RIEL,SERVEUR DE SECOURS
Materiel - Other,MAT RIEL,WERKPOST
Materiel - Other,MAT RIEL,IMPRIMANTES
Materiel - Other,MAT RIEL,NETWERK ROUTEUR
Materiel - Other,MAT RIEL,KIT DE D PLOIEMENT
Materiel - Other,MAT RIEL,MISE A NIVEAU MATERIEL EXISTANT
Materiel - Other,MAT RIEL,DRAAGBARE PC
Materiel - Other,MAT RIEL,PORTABLES
Materiel - Other,MAT RIEL,SCANNERS
Materiel - Other,MAT RIEL,SERVEUR DE PRODUCTION
Materiel - Other,MAT RIEL,TELEPHONIE
Materiel - Other,MAT RIEL,PRESTATIONS DIVERSES
Materiel - Other,MAT RIEL,TAXES DIVERSES
Materiel - Other,MAT RIEL,ROUTEURS - R SEAU
Materiel - Other,MAT RIEL,POSTES CLIENTS
Mise en Service - Other,MISE EN SERVICE,PERSONNALISATION ET PARAMETRAGE
Notamail,SERVICES COMPLEMENTAIRES,ABONNEMENTS
Office 365,SERVICES COMPLEMENTAIRES,ABONNEMENTS
Office 365,SERVICES COMPLEMENTAIRES,ABONNEMENTS SECIB
Other Software - Other,LOGICIELS AUTRES,COMMUNICATION
Other Software - Other,LOGICIELS AUTRES,OUTILS DE DICTEE
Other Software - Other,LOGICIELS AUTRES,INTERNE
Other Software - Other,LOGICIELS AUTRES,BASES DE DONNEES
Other Software - Other,LOGICIELS AUTRES,GESTIONNAIRE RESEAU
Other Software - Other,LOGICIELS AUTRES,DIVERS
Other Software - Other,LOGICIELS AUTRES,LICENCES MICROSOFT
Pack S curit ,SERVICES COMPLEMENTAIRES,ABONNEMENTS SECIB
Paye Logiciel,SERVICES COMPLEMENTAIRES,ABONNEMENTS
Paye Logiciel,SERVICES COMPLEMENTAIRES,MAINTENANCE LOGICIELS GENAPI ET SERVICES SUIVANT LE NOMBRE DE POSTES SUR LE RESEAU
Personnalisation - Other,PERSONNALISATION,PARAMETRAGE ET PERSONNALISATION
Reprise de Donnees - Other,REPRISE DE DONNEES,REPRISE DE FICHIERS PAR SECIB
Reprise de Donnees - Other,REPRISE DE DONNEES,REPRISE DE FICHIERS PAR GENAPI
Sauvegarde Externalis ,SERVICES COMPLEMENTAIRES,ABONNEMENTS
Sauvegarde Externalis ,SERVICES COMPLEMENTAIRES,ABONNEMENTS SECIB
Sauvegarde H berg e,MAINTENANCE,SERVICES SECIB ASSOCIES
SECIB,LOGICIELS SECIB,ABONNEMENT SECIB.BE
SECIB,LOGICIELS SECIB,ECHANGES SECIB
SECIB,LOGICIELS SECIB,SERVICES SECIB ASSOCIES
SECIB,LOGICIELS SECIB,SECIB
SECIB,LOGICIELS SECIB,ABONNEMENTS SECIB
,,
SECIB,LOGICIELS SECIB,SECIB.BE
Services Complementaires - Other,SERVICES COMPLEMENTAIRES,ABONNEMENTS
Services Complementaires - Other,SERVICES COMPLEMENTAIRES,ABONNEMENT SECIB.BE
Services Complementaires - Other,SERVICES COMPLEMENTAIRES,ABONNEMENTS SECIB
Services Complementares - Other,SERVICES COMPLEMENTAIRES,ABONNEMENTS SECIB
Tempo,REPRISE DE DONNEES,ROUTEURS - R SEAU
Tempo,REPRISE DE DONNEES,COMMUNICATION
Tempo,REPRISE DE DONNEES,LICENCES MICROSOFT
Tempo,REPRISE DE DONNEES,SERVEUR DE PRODUCTION
Tempo,REPRISE DE DONNEES,PRESTATIONS DIVERSES
Tempo,REPRISE DE DONNEES,SCANNERS
Tempo,REPRISE DE DONNEES,INSTALLATION A DISTANCE
Tempo,REPRISE DE DONNEES,BASES DE DONNEES
Tempo,REPRISE DE DONNEES,GENAPI VERSION TELE@CTES
Tempo,REPRISE DE DONNEES,REPRISE DE FICHIERS PAR GENAPI
Tempo,REPRISE DE DONNEES,GESTIONNAIRE RESEAU
Tempo,REPRISE DE DONNEES,MISE A NIVEAU MATERIEL EXISTANT
Tempo,REPRISE DE DONNEES,IMPRIMANTES
Tempo,REPRISE DE DONNEES,SERVEUR DE SECOURS
Tempo,REPRISE DE DONNEES,FORMATION GENAPI
Tempo,REPRISE DE DONNEES,PORTABLES
Tempo,REPRISE DE DONNEES,POSTES CLIENTS
